duration,UDP,out_packets,out_bytes,in_packets,in_bytes,label
30.02200000000039,1.0,0,0,2656,4015872,0
30.021000000000072,1.0,31,17742,4497979,4794844590,1
30.02199999999999,0.0,31,2382,5510463,275523142,1
30.019999999999985,1.0,33,17826,4297800,4581451728,1
30.02099999999996,1.0,32,17784,4298380,4582071032,1
30.021000000000186,0.0,2488590,108898432364,1654309,109184346,0
30.02199999999993,1.0,2,84,2651,4005372,0
30.02200000000016,0.0,31,2382,5552755,277637742,1
30.019999999999985,0.0,2558090,111940678172,1698578,112106148,0
30.02199999999993,1.0,0,0,2664,4027968,0
30.022999999999683,1.0,1,42,2658,4017426,0
30.02099999999996,1.0,33,17826,4304663,4588767686,1
30.02199999999993,1.0,2,84,2605,3935820,0
30.02199999999993,0.0,31,2382,5579227,278961342,1
30.019999999999985,0.0,26,1956,3477640,173881984,1
30.024,0.0,31,2382,5532668,276633392,1
30.021000000000186,0.0,2557437,111910751386,1699656,112177272,0
30.021000000000072,0.0,2636362,115364332932,1750527,115534758,0
30.019999999999985,1.0,32,17784,4284478,4567251500,1
30.019999999999985,1.0,32,17784,4318443,4603458190,1
