duration,protocol,in_packets,in_bytes,out_packets,out_bytes
106150.813,ICMP,109569,10401034,109570,10401132
106180.835,ICMP,109599,10403918,109600,10404016
106210.858,ICMP,109631,10406942,109632,10407040
106240.881,ICMP,109661,10409826,109662,10409924
106270.903,ICMP,109692,10412752,109693,10412850
106300.925,ICMP,109724,10415776,109725,10415874
106330.948,ICMP,109755,10418702,109756,10418800
106360.971,ICMP,109787,10421726,109788,10421824
106390.993,ICMP,109818,10424652,109819,10424750
106421.015,ICMP,109849,10427578,109850,10427676
106451.037,ICMP,109882,10430644,109883,10430742
106481.058,ICMP,109913,10433570,109914,10433668
106511.078,ICMP,109943,10436454,109944,10436552
106541.099,ICMP,109975,10439422,109976,10439520
106571.120,ICMP,110007,10442446,110008,10442544
106601.142,ICMP,110037,10445330,110038,10445428
106631.164,ICMP,110067,10448214,110068,10448312
106661.186,ICMP,110099,10451238,110100,10451336
106691.208,ICMP,110129,10454122,110130,10454220
106721.229,ICMP,110159,10457006,110160,10457104
106751.251,ICMP,110191,10460030,110192,10460128
106781.273,ICMP,110221,10462914,110222,10463012
106811.294,ICMP,110251,10465798,110252,10465896
106841.315,ICMP,110283,10468822,110284,10468920
106871.337,ICMP,110313,10471706,110314,10471804
106901.358,ICMP,110343,10474590,110344,10474688
106931.379,ICMP,110375,10477614,110376,10477712
106961.401,ICMP,110405,10480498,110406,10480596
106991.422,ICMP,110436,10483424,110437,10483522
107021.444,ICMP,110467,10486350,110468,10486448
107051.466,ICMP,110498,10489332,110499,10489430
107081.488,ICMP,110529,10492258,110530,10492356
107111.509,ICMP,110560,10495184,110561,10495282
107141.530,ICMP,110591,10498166,110592,10498264
107171.551,ICMP,110622,10501092,110623,10501190
107201.572,ICMP,110652,10503976,110653,10504074
107231.593,ICMP,110685,10507042,110686,10507140
107261.614,ICMP,110716,10509968,110717,10510066
107291.634,ICMP,110747,10512894,110748,10512992
107321.655,ICMP,110779,10515918,110780,10516016
107351.677,ICMP,110810,10518844,110811,10518942
107381.698,ICMP,110842,10521868,110843,10521966
107411.720,ICMP,110873,10524794,110874,10524892
107441.737,ICMP,110904,10527720,110905,10527818
107471.757,ICMP,110935,10530646,110936,10530744
107501.779,ICMP,110966,10533572,110967,10533670
107531.802,ICMP,110997,10536554,110998,10536652
107561.823,ICMP,111028,10539480,111029,10539578
107591.844,ICMP,111059,10542406,111060,10542504
107621.865,ICMP,111091,10545430,111092,10545528
107651.887,ICMP,111121,10548314,111122,10548412
107681.910,ICMP,111153,10551338,111154,10551436
107711.933,ICMP,111184,10554264,111185,10554362
107741.954,ICMP,111215,10557190,111216,10557288
107771.975,ICMP,111247,10560214,111248,10560312
107801.997,ICMP,111277,10563098,111278,10563196
107832.019,ICMP,111309,10566066,111310,10566164
107862.041,ICMP,111341,10569090,111342,10569188
107892.062,ICMP,111371,10571918,111372,10572016
107922.084,ICMP,111403,10574942,111404,10575040
107952.106,ICMP,111434,10577868,111435,10577966
107982.128,ICMP,111466,10580892,111467,10580990
108012.151,ICMP,111497,10583818,111498,10583916
108042.172,ICMP,111528,10586744,111529,10586842
108072.194,ICMP,111560,10589768,111561,10589866
108102.216,ICMP,111591,10592694,111592,10592792
108132.239,ICMP,111622,10595620,111623,10595718
108162.260,ICMP,111653,10598602,111654,10598700
108192.281,ICMP,111683,10601486,111684,10601584
108222.302,ICMP,111713,10604370,111714,10604468
108252.326,ICMP,111745,10607394,111746,10607492
108282.348,ICMP,111774,10610236,111775,10610334
108312.371,ICMP,111805,10613162,111806,10613260
108342.393,ICMP,111837,10616186,111838,10616284
108372.416,ICMP,111867,10619070,111868,10619168
108402.438,ICMP,111897,10621954,111898,10622052
108432.460,ICMP,111927,10624838,111928,10624936
108462.482,ICMP,111959,10627862,111960,10627960
108492.505,ICMP,111990,10630788,111991,10630886
108522.528,ICMP,112021,10633714,112022,10633812
108552.551,ICMP,112053,10636738,112054,10636836
108582.571,ICMP,112084,10639664,112085,10639762
108612.593,ICMP,112115,10642590,112116,10642688
108642.615,ICMP,112147,10645614,112148,10645712
108672.638,ICMP,112178,10648540,112179,10648638
108702.660,ICMP,112209,10651466,112210,10651564
108732.682,ICMP,112240,10654448,112241,10654546
108762.703,ICMP,112271,10657374,112272,10657472
108792.724,ICMP,112302,10660300,112303,10660398
108822.747,ICMP,112333,10663226,112334,10663324
108852.769,ICMP,112365,10666250,112366,10666348
108882.791,ICMP,112396,10669176,112397,10669274
108912.812,ICMP,112427,10672102,112428,10672200
108942.836,ICMP,112459,10675126,112460,10675224
108972.858,ICMP,112490,10678052,112491,10678150
109002.879,ICMP,112520,10680936,112521,10681034
109032.899,ICMP,112552,10683960,112553,10684058
109062.920,ICMP,112583,10686886,112584,10686984
109092.943,ICMP,112613,10689826,112614,10689924
109122.966,ICMP,112644,10692752,112645,10692850
109152.988,ICMP,112674,10695636,112675,10695734
109183.009,ICMP,112705,10698618,112706,10698716
109213.031,ICMP,112735,10701502,112736,10701600
109243.053,ICMP,112766,10704428,112767,10704526
109273.075,ICMP,112795,10707270,112796,10707368
109303.096,ICMP,112826,10710196,112827,10710294
109333.118,ICMP,112858,10713220,112859,10713318
109363.139,ICMP,112887,10716062,112888,10716160
109393.161,ICMP,112919,10719086,112920,10719184
109423.182,ICMP,112950,10722012,112951,10722110
109453.204,ICMP,112980,10724896,112981,10724994
109483.226,ICMP,113012,10727920,113013,10728018
109513.247,ICMP,113043,10730846,113044,10730944
109543.269,ICMP,113072,10733688,113073,10733786
109573.290,ICMP,113104,10736712,113105,10736810
109603.311,ICMP,113135,10739638,113136,10739736
109633.333,ICMP,113165,10742522,113166,10742620
109663.354,ICMP,113197,10745546,113198,10745644
109693.376,ICMP,113228,10748472,113229,10748570
109723.399,ICMP,113259,10751398,113260,10751496
109753.423,ICMP,113289,10754282,113290,10754380
109783.445,ICMP,113321,10757306,113322,10757404
109813.468,ICMP,113351,10760190,113352,10760288
109843.491,ICMP,113381,10763074,113382,10763172
109873.514,ICMP,113413,10766098,113414,10766196
